location_id,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,36.168716,-86.727264,122,0,GMT,GMT
1,40.808434,-74.0199,2,0,GMT,GMT
2,40.45694,-79.97177,229,0,GMT,GMT
3,35.254833,-80.804596,220,0,GMT,GMT
4,39.26186,-76.61157,5,0,GMT,GMT
5,27.94376,-82.49155,11,0,GMT,GMT
6,39.753952,-86.1196,211,0,GMT,GMT
7,44.956062,-93.20929,253,0,GMT,GMT
8,33.497364,-112.27724,328,0,GMT,GMT
9,32.724075,-97.14285,193,0,GMT,GMT
10,33.778557,-84.402985,300,0,GMT,GMT
11,40.808434,-74.0199,2,0,GMT,GMT
12,39.753952,-105.02086,1588,0,GMT,GMT
13,25.975393,-80.2623,5,0,GMT,GMT
14,39.89455,-75.18826,4,0,GMT,GMT
15,41.862915,-87.64877,180,0,GMT,GMT
16,42.07381,-71.239075,89,0,GMT,GMT
17,38.910366,-76.82626,68,0,GMT,GMT
18,44.534267,-88.064514,190,0,GMT,GMT
19,32.794376,-117.17604,18,0,GMT,GMT
20,29.982424,-90.10489,23,0,GMT,GMT
21,29.70123,-95.42923,18,0,GMT,GMT
22,42.7768,-78.81656,222,0,GMT,GMT
23,37.71529,-122.48663,16,0,GMT,GMT
24,30.333918,-81.6647,0,0,GMT,GMT
25,41.51142,-81.70029,180,0,GMT,GMT
26,37.785587,-122.16867,6,0,GMT,GMT
27,39.050964,-94.44443,259,0,GMT,GMT
28,38.629173,-90.2449,150,0,GMT,GMT
29,47.627415,-122.32291,11,0,GMT,GMT
30,39.121265,-84.560425,150,0,GMT,GMT
31,42.355007,-83.00589,188,0,GMT,GMT